,Date,Open,High,Low,Close,Volume,Price_Diff,Up_Moves,Down_Moves,Avg_Up,Avg_Down,RS,RSI,buy_price,sell_price,Signal
2,2022-02-01 00:10:00,38595.7,38597.61,38497.68,38497.68,75.05666,-98.02999999999884,0.0,98.02999999999884,53.9213073005102,37.447792869269506,1.4399061511782507,59.01481704461904,,,0
3,2022-02-01 00:15:00,38497.69,38516.72,38301.35,38343.26,136.60176,-154.41999999999825,0.0,154.41999999999825,37.42525833937696,73.23289068165253,0.5110443953669213,33.82060758332824,,,0
4,2022-02-01 00:20:00,38343.26,38437.5,38300.69,38413.81,69.47041,70.54999999999563,70.54999999999563,0.0,46.06745275482947,54.126541555649986,0.8511065261294295,45.9782575511227,,,0
5,2022-02-01 00:25:00,38413.81,38445.92,38403.07,38439.57,55.24327,25.760000000002037,25.760000000002037,0.0,41.368670236947466,41.60262482982412,0.9943764463460263,49.85901473956241,,,0
6,2022-02-01 00:30:00,38437.5,38469.99,38368.87,38392.59,62.25994,-46.9800000000032,0.0,46.9800000000032,32.65141429920012,42.73575179192484,0.7640304178612762,43.31163511270925,,,0
7,2022-02-01 00:35:00,38392.58,38401.58,38324.92,38325.87,54.16664,-66.71999999999389,0.0,66.71999999999389,26.26527845982432,47.42671756934867,0.5538076385197541,35.64196910805143,,,0
8,2022-02-01 00:40:00,38325.88,38335.87,38291.71,38306.87,70.18328,-19.0,0.0,19.0,21.429230150169246,42.192698076253585,0.5078895431489318,33.682145052104005,,,0
9,2022-02-01 00:45:00,38306.86,38370.58,38276.43,38325.0,91.01187,18.12999999999738,18.12999999999738,0.0,20.8511269961334,34.79953945290206,0.5991782455728605,37.467883722881794,,,0
10,2022-02-01 00:50:00,38324.99,38361.58,38324.99,38338.23,59.07759,13.230000000003201,13.230000000003201,0.0,19.569416553592852,28.94700174620402,0.676042953435034,40.33565798832842,,,0
11,2022-02-01 00:55:00,38338.23,38353.27,38297.78,38342.36,52.50724,4.129999999997381,4.129999999997381,0.0,17.060269050896416,24.242659655950426,0.7037292645697365,41.30522843061323,,,0
12,2022-02-01 01:00:00,38342.37,38378.83,38304.01,38325.78,71.73883,-16.580000000001746,0.0,16.580000000001746,14.36632327736329,23.03266762519279,0.6237368380920679,38.4136655312307,,,0
